filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mel_spectrogram_mean,mel_spectrogram_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
disco.00001.wav,2949,0.515376,0.04769,0.19036,0.019285,2339.518225,209.781355,3279.59271,391.336546,4291.187067,435.475219,0.085273,0.006511,-0.000711,0.000412,0.00105,0.000256,127.657532,638.56589,122.902862,-172.917119,15.903086,-153.530456,15.013573,-122.021416,16.521775,-115.171532,10.748874,-102.024919,14.719513,-87.951777,9.346188,-63.402345,3.403941,-42.888137,0.967343,-36.744502,2.292067,-16.068953,1.261726,-20.244556,0.406461,8.142203,1.364752,26.648785,1.954801,28.07094,2.690938,53.176556,1.732123,67.896315,2.169504,68.517715,4.90724,93.54868,3.455522,96.312868,12.541316,113.873233,17.11735,disco
jazz.00086.wav,3059,0.479535,0.047985,0.130811,0.008393,1862.507987,227.525354,1701.148726,127.778433,2979.473623,346.159048,0.034251,0.003687,0.000901,0.00022,-0.001506,0.000245,131.243905,578.809729,80.664753,-222.694435,21.121666,-176.068927,14.027117,-156.967454,11.838445,-151.563903,14.602004,-136.416014,14.752234,-126.972892,10.657595,-121.657498,19.572771,-82.025735,7.890029,-98.597041,18.236843,-47.21959,3.665139,-46.316456,14.60125,-32.837831,0.813619,-26.448318,1.671282,-8.861335,4.849607,-5.431526,1.860798,11.01115,0.432808,40.557301,1.436548,55.25734,3.126455,85.447954,6.238634,89.325088,15.737183,jazz
jazz.00153.wav,3049,0.60639,0.048378,0.115591,0.008397,1681.569907,137.461054,1894.220598,148.139024,3278.460019,322.726763,0.046503,0.002547,-0.001275,0.000157,0.00063,0.000332,141.556389,474.116795,91.564031,-203.019645,16.160313,-182.815953,17.919021,-161.488049,8.129571,-132.843448,15.064744,-143.655165,10.047987,-136.291903,12.371734,-129.234496,22.142794,-100.495209,8.461903,-72.299384,6.949593,-65.810955,7.38131,-50.457219,5.927908,-50.042723,5.937871,-29.97875,2.7946,-10.89205,7.224598,5.484739,0.400466,35.718735,1.021024,40.149318,1.954962,48.425515,3.051696,67.615082,7.181533,92.7709,6.476943,jazz
country.00055.wav,2961,0.364671,0.073027,0.131518,0.016404,1759.179928,226.016068,2281.261413,257.119156,3658.005324,387.625665,0.078678,0.008506,-0.003937,0.000414,-0.003762,0.000333,118.934154,484.490104,105.030453,-184.009455,20.412905,-147.979114,13.709912,-141.439214,16.391865,-121.128246,23.827679,-105.402855,17.80569,-104.506361,3.768637,-92.631759,2.13804,-56.881771,4.658695,-56.658077,17.085552,-32.302327,4.403305,-20.603983,1.171322,-15.736919,12.106409,5.588242,5.919268,35.787062,2.317594,42.504988,1.534724,52.336981,10.492847,74.709017,2.920405,99.494948,7.649223,100.532541,10.950412,136.935202,11.455361,country
classical.00205.wav,2822,0.462103,0.056123,0.084634,0.003101,1392.388342,86.022726,2089.206096,273.990729,2520.737861,234.196647,0.025386,0.00362,-0.003698,0.000352,0.000997,0.000466,109.331894,433.119242,86.021637,-219.712492,13.830342,-203.646604,30.235729,-186.071631,14.804514,-165.08717,20.248231,-176.280713,30.785286,-145.42382,12.470216,-134.5383,15.756782,-100.158526,11.460328,-82.652839,9.936144,-82.070327,10.652779,-83.133812,2.314397,-60.905437,1.139478,-65.257963,6.353747,-14.844518,8.48495,-15.713265,6.169758,17.114605,5.368411,14.403341,4.317353,33.026112,4.56528,46.225306,5.313926,49.037631,5.515191,classical
blues.00106.wav,2888,0.43605,0.056523,0.098763,0.016862,1725.465545,231.797536,2096.388026,345.850376,3136.882897,430.241299,0.056724,0.004066,0.000951,0.00035,0.00252,0.000282,72.750122,373.303523,64.727567,-178.980879,20.14218,-152.085178,9.297427,-154.850979,17.490421,-128.689743,17.080216,-111.154029,14.140282,-111.50814,9.426127,-97.614302,11.136098,-77.286031,9.151063,-61.973153,9.527264,-55.78948,4.960113,-36.416005,8.297294,-49.669042,12.139931,-3.342727,1.255065,23.943942,2.626593,13.333109,3.190763,40.368555,5.738142,84.423328,10.175521,74.7744,7.767372,103.567944,11.023793,94.880847,19.097217,blues
classical.00089.wav,2973,0.34977,0.056943,0.070454,0.002618,1422.116319,200.909955,2096.307339,293.304822,2389.298517,244.145201,0.046582,0.005087,0.001873,0.000336,0.005019,0.000244,110.009082,390.74978,94.861279,-219.397284,19.855547,-232.234676,25.766556,-200.712081,11.594972,-181.947224,16.1859,-166.202128,11.336934,-139.034768,13.508737,-144.337534,9.653972,-131.943785,10.199565,-116.748182,8.923378,-79.746931,9.265508,-75.817935,5.671362,-61.171975,1.042754,-22.562739,4.319795,-20.623494,12.49073,-17.293429,0.057757,-8.872302,7.39974,38.815087,3.849322,37.383987,0.076081,45.64695,11.040128,66.96565,7.789906,classical
hiphop.00468.wav,3161,0.457517,0.046252,0.228402,0.027623,2230.994702,296.784845,2554.646327,351.285264,3723.578539,356.709394,0.074472,0.009433,-0.001542,0.000285,3.7e-05,0.000296,92.064617,670.576265,150.54337,-154.541027,14.45773,-129.888445,8.007205,-125.348001,19.249414,-97.525404,10.832866,-77.305011,11.638383,-69.204283,8.42518,-65.557466,11.307842,-48.302676,3.169136,-29.654453,6.387928,-8.591278,4.740245,-4.936729,3.509632,5.872608,0.400262,29.35176,0.967028,49.234404,8.57632,55.158873,1.806522,67.190319,14.228463,105.155107,10.020839,106.522764,15.171251,128.548406,7.457589,133.609331,19.100857,hiphop
hiphop.00413.wav,2997,0.405847,0.046628,0.204046,0.026191,2237.555355,149.33104,2020.849452,104.857516,3651.892169,278.795175,0.072091,0.007192,0.00284,0.000144,-0.003235,9.6e-05,95.075185,783.848273,173.891294,-146.329695,18.710968,-144.130742,13.643608,-144.272954,15.446472,-117.348945,0.078808,-107.782876,16.60956,-81.50645,10.454802,-48.097557,5.128671,-39.153486,0.848673,-30.529358,7.577618,-21.233875,3.716919,-6.27486,7.044954,23.112078,3.316682,29.102588,8.359154,39.442196,4.730392,71.36345,5.996624,90.935181,11.160927,82.580628,8.827692,109.192356,1.639424,119.587895,10.05251,142.02424,6.677012,hiphop
disco.00100.wav,2897,0.553017,0.047833,0.184824,0.023445,2751.719043,322.984722,3154.359013,400.081871,5137.084303,401.886207,0.080324,0.007575,-0.00263,0.000393,-0.001187,0.000237,109.729415,797.675982,156.631495,-164.830985,11.250972,-152.540036,9.580104,-125.688993,18.596476,-107.910895,7.876184,-88.463181,8.81095,-72.128143,5.68193,-59.651161,3.270606,-48.75725,4.943277,-55.639527,4.878874,-32.102758,7.73806,-11.70943,10.011458,0.189869,2.581466,30.327524,9.452113,19.441349,1.959507,58.550187,0.093827,50.585595,6.580243,71.670931,7.81563,89.443413,11.764223,98.126549,10.484378,119.144318,9.8791,disco
